,user_id,anime_id,rating
47,1,8074,10.0
81,1,11617,10.0
83,1,11757,10.0
101,1,15451,10.0
153,2,11771,10.0
156,3,20,8.0
157,3,154,6.0
158,3,170,9.0
159,3,199,10.0
160,3,225,9.0
161,3,341,6.0
162,3,430,7.0
163,3,527,7.0
164,3,552,7.0
165,3,813,10.0
166,3,1119,7.0
167,3,1121,7.0
168,3,1122,7.0
169,3,1132,8.0
170,3,1292,6.0
171,3,1313,8.0
172,3,1526,7.0
173,3,1535,10.0
174,3,1564,7.0
175,3,1689,8.0
176,3,1764,6.0
177,3,1943,8.0
178,3,2201,7.0
179,3,2404,7.0
180,3,2847,7.0
181,3,3588,8.0
182,3,4026,7.0
183,3,5114,10.0
184,3,5231,8.0
185,3,6178,7.0
186,3,6702,8.0
187,3,6880,6.0
188,3,7695,7.0
189,3,8074,6.0
190,3,9107,6.0
191,3,9135,7.0
192,3,9760,9.0
193,3,9917,8.0
194,3,9919,8.0
195,3,9989,10.0
196,3,10408,7.0
197,3,10507,8.0
198,3,11111,8.0
199,3,11703,6.0
200,3,11737,7.0
201,3,11757,9.0
202,3,11759,7.0
203,3,11771,10.0
204,3,12671,3.0
205,3,14075,8.0
206,3,14093,7.0
207,3,14345,8.0
208,3,14513,10.0
209,3,16498,10.0
210,3,16512,5.0
211,3,16782,7.0
212,3,16894,10.0
213,3,16918,8.0
214,3,17265,7.0
215,3,18097,7.0
216,3,18115,10.0
217,3,18393,7.0
218,3,19315,3.0
219,3,19815,9.0
220,3,20021,5.0
221,3,20159,10.0
222,3,20507,8.0
223,3,20583,9.0
224,3,21507,6.0
225,3,21881,7.0
226,3,22199,8.0
227,3,22297,8.0
228,3,22319,6.0
229,3,22547,6.0
230,3,22729,7.0
231,3,23301,8.0
232,3,23321,6.0
233,3,23333,4.0
234,3,23755,8.0
235,3,24415,10.0
236,3,26243,6.0
237,3,27631,8.0
238,3,27899,8.0
239,3,28121,9.0
240,3,28171,10.0
241,3,28223,6.0
242,3,28497,7.0
243,3,28701,9.0
244,3,28891,9.0
245,3,29854,6.0
248,3,31043,10.0
249,3,31859,7.0
302,5,6,8.0
303,5,15,6.0
304,5,17,6.0
